country,bond_name,year,status,rows,from_date,to_date,error,update_run_timestamp
norway,Norway 5Y,2000,ok,256,01/01/2000,31/12/2000,,
norway,Norway 5Y,2001,ok,252,01/01/2001,31/12/2001,,
norway,Norway 5Y,2002,ok,255,01/01/2002,31/12/2002,,
norway,Norway 5Y,2003,ok,254,01/01/2003,31/12/2003,,
norway,Norway 5Y,2004,ok,252,01/01/2004,31/12/2004,,
norway,Norway 5Y,2005,ok,215,01/01/2005,31/12/2005,,
norway,Norway 5Y,2006,failed,0,01/01/2006,31/12/2006,Failed to download Norway 5Y from 01/01/2006 to 31/12/2006 after 60 attempts: ERR#0069: bond information unavailable or not found.,
norway,Norway 5Y,2007,ok,41,01/01/2007,31/12/2007,,
norway,Norway 5Y,2008,ok,252,01/01/2008,31/12/2008,,
norway,Norway 5Y,2009,ok,251,01/01/2009,31/12/2009,,
norway,Norway 5Y,2010,ok,252,01/01/2010,31/12/2010,,
norway,Norway 5Y,2011,ok,253,01/01/2011,31/12/2011,,
norway,Norway 5Y,2012,ok,278,01/01/2012,31/12/2012,,
norway,Norway 5Y,2013,ok,256,01/01/2013,31/12/2013,,
norway,Norway 5Y,2014,ok,273,01/01/2014,31/12/2014,,
norway,Norway 5Y,2015,ok,266,01/01/2015,31/12/2015,,
norway,Norway 5Y,2016,ok,259,01/01/2016,31/12/2016,,
norway,Norway 5Y,2017,ok,262,01/01/2017,31/12/2017,,
norway,Norway 5Y,2018,ok,251,01/01/2018,31/12/2018,,
norway,Norway 5Y,2019,ok,252,01/01/2019,31/12/2019,,
norway,Norway 5Y,2020,ok,254,01/01/2020,31/12/2020,,
norway,Norway 5Y,2021,ok,257,01/01/2021,31/12/2021,,
norway,Norway 5Y,2022,ok,253,01/01/2022,31/12/2022,,
norway,Norway 5Y,2023,ok,254,01/01/2023,31/12/2023,,
norway,Norway 5Y,2024,ok,255,01/01/2024,31/12/2024,,
norway,Norway 5Y,2025,ok,251,01/01/2025,31/12/2025,,
norway,Norway 5Y,2026,ok,48,01/01/2026,11/03/2026,,
norway,Norway 5Y,2026,ok,9,03/03/2026,13/03/2026,,2026-03-13 22:56:06
