country,bond_name,year,status,rows,from_date,to_date
japan,Japan 30Y,2000,ok,248,01/01/2000,31/12/2000
japan,Japan 30Y,2001,ok,246,01/01/2001,31/12/2001
japan,Japan 30Y,2002,ok,246,01/01/2002,31/12/2002
japan,Japan 30Y,2003,ok,245,01/01/2003,31/12/2003
japan,Japan 30Y,2004,ok,246,01/01/2004,31/12/2004
japan,Japan 30Y,2005,ok,245,01/01/2005,31/12/2005
japan,Japan 30Y,2006,ok,248,01/01/2006,31/12/2006
japan,Japan 30Y,2007,ok,245,01/01/2007,31/12/2007
japan,Japan 30Y,2008,ok,245,01/01/2008,31/12/2008
japan,Japan 30Y,2009,ok,243,01/01/2009,31/12/2009
japan,Japan 30Y,2010,ok,245,01/01/2010,31/12/2010
japan,Japan 30Y,2011,ok,245,01/01/2011,31/12/2011
japan,Japan 30Y,2012,ok,248,01/01/2012,31/12/2012
japan,Japan 30Y,2013,ok,245,01/01/2013,31/12/2013
japan,Japan 30Y,2014,ok,244,01/01/2014,31/12/2014
japan,Japan 30Y,2015,ok,244,01/01/2015,31/12/2015
japan,Japan 30Y,2016,ok,245,01/01/2016,31/12/2016
japan,Japan 30Y,2017,ok,247,01/01/2017,31/12/2017
japan,Japan 30Y,2018,ok,245,01/01/2018,31/12/2018
japan,Japan 30Y,2019,ok,241,01/01/2019,31/12/2019
japan,Japan 30Y,2020,ok,243,01/01/2020,31/12/2020
japan,Japan 30Y,2021,ok,245,01/01/2021,31/12/2021
japan,Japan 30Y,2022,ok,244,01/01/2022,31/12/2022
japan,Japan 30Y,2023,ok,246,01/01/2023,31/12/2023
japan,Japan 30Y,2024,ok,245,01/01/2024,31/12/2024
japan,Japan 30Y,2025,ok,259,01/01/2025,31/12/2025
japan,Japan 30Y,2026,ok,50,01/01/2026,10/03/2026
