country,bond_name,year,status,rows,from_date,to_date,error
taiwan,Taiwan 2Y,2000,failed,0,01/01/2000,31/12/2000,Failed to download Taiwan 2Y from 01/01/2000 to 31/12/2000 after 60 attempts: ERR#0069: bond information unavailable or not found.
taiwan,Taiwan 2Y,2001,failed,0,01/01/2001,31/12/2001,Failed to download Taiwan 2Y from 01/01/2001 to 31/12/2001 after 60 attempts: ERR#0069: bond information unavailable or not found.
taiwan,Taiwan 2Y,2002,ok,222,01/01/2002,31/12/2002,
taiwan,Taiwan 2Y,2003,ok,229,01/01/2003,31/12/2003,
taiwan,Taiwan 2Y,2004,ok,189,01/01/2004,31/12/2004,
taiwan,Taiwan 2Y,2005,ok,99,01/01/2005,31/12/2005,
taiwan,Taiwan 2Y,2006,ok,116,01/01/2006,31/12/2006,
taiwan,Taiwan 2Y,2007,ok,161,01/01/2007,31/12/2007,
taiwan,Taiwan 2Y,2008,ok,146,01/01/2008,31/12/2008,
taiwan,Taiwan 2Y,2009,ok,81,01/01/2009,31/12/2009,
taiwan,Taiwan 2Y,2010,ok,151,01/01/2010,31/12/2010,
taiwan,Taiwan 2Y,2011,ok,216,01/01/2011,31/12/2011,
taiwan,Taiwan 2Y,2012,ok,233,01/01/2012,31/12/2012,
taiwan,Taiwan 2Y,2013,ok,171,01/01/2013,31/12/2013,
taiwan,Taiwan 2Y,2014,ok,221,01/01/2014,31/12/2014,
taiwan,Taiwan 2Y,2015,ok,318,01/01/2015,31/12/2015,
taiwan,Taiwan 2Y,2016,ok,320,01/01/2016,31/12/2016,
taiwan,Taiwan 2Y,2017,ok,316,01/01/2017,31/12/2017,
taiwan,Taiwan 2Y,2018,ok,284,01/01/2018,31/12/2018,
taiwan,Taiwan 2Y,2019,ok,237,01/01/2019,31/12/2019,
taiwan,Taiwan 2Y,2020,ok,261,01/01/2020,31/12/2020,
taiwan,Taiwan 2Y,2021,ok,260,01/01/2021,31/12/2021,
taiwan,Taiwan 2Y,2022,ok,260,01/01/2022,31/12/2022,
taiwan,Taiwan 2Y,2023,ok,260,01/01/2023,31/12/2023,
taiwan,Taiwan 2Y,2024,ok,256,01/01/2024,31/12/2024,
taiwan,Taiwan 2Y,2025,ok,253,01/01/2025,31/12/2025,
taiwan,Taiwan 2Y,2026,ok,50,01/01/2026,11/03/2026,
